Time,data
1742480977.6680932,3004 right
1742480983.6562266,3006 left
1742480989.6591601,3008 right
1742480995.6720734,3010 left
1742480998.6633453,3011 left
1742481001.655398,3012 left
1742481004.6582954,3013 left
1742481007.679106,3014 right
1742481010.661736,3015 right
1742481013.6539054,3016 right
1742481016.6570241,3017 right
1742481019.6547027,3018 right
1742481025.6539774,3020 right
1742481031.6562939,3022 right
1742481040.6552434,3025 left
1742481049.6575615,3028 right
1742481067.6538575,3034 left
1742481085.6549163,3040 left
1742481100.6569262,3045 right
1742481103.653139,3046 right
1742481121.6587234,3052 middle
1742481139.6605537,3058 left
1742481157.6542876,3064 middle
1742481172.6567605,3069 right
1742481190.661784,3075 left
1742481199.6565678,3078 right
1742481202.6536746,3079 left
1742481205.6562958,3080 right
1742481214.6551642,3083 left
1742481220.6598601,3085 middle
1742481223.6530755,3086 middle
1742481241.6526914,3092 left
1742481256.6562996,3097 middle
