Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742480503.5487332,3,1742480503,548101950,world,0.792515218257904,3.6895761489868164,0.09614408016204834,-0.0032104209531098604,-0.0028758824337273836,-0.5195245146751404,-0.854444682598114
1742480503.5588856,4,1742480503,558130734,world,0.7924994826316833,3.6895625591278076,0.09611913561820984,-0.002393687842413783,-0.0029031140729784966,-0.5197350382804871,-0.854319155216217
1742480503.5891676,5,1742480503,588150627,world,0.7925437092781067,3.6895523071289062,0.09616300463676453,-0.003925553523004055,-0.0026536521036177874,-0.5195214748382568,-0.8544442653656006
1742480503.5892737,6,1742480503,588240378,world,0.7924216985702515,3.6895933151245117,0.09621590375900269,-0.0002693163987714797,-0.004061245359480381,-0.519404947757721,-0.8545185923576355
1742480503.619014,7,1742480503,618191478,world,0.7924854755401611,3.6895461082458496,0.0960535854101181,-0.0036175819113850594,-0.0022636246867477894,-0.5196065902709961,-0.8543949723243713
1742480503.6589074,8,1742480503,658102986,world,0.7924998998641968,3.6895651817321777,0.0960824191570282,-0.0025340584106743336,-0.0030369055457413197,-0.5196959972381592,-0.8543421626091003
1742480503.678771,9,1742480503,678080095,world,0.7924979329109192,3.6895687580108643,0.09613189846277237,-0.002693033078685403,-0.003008252242580056,-0.519519567489624,-0.8544490933418274
1742480503.7100093,10,1742480503,708172239,world,0.7925243377685547,3.689563035964966,0.09612654149532318,-0.0034668005537241697,-0.002863785019144416,-0.5195366740226746,-0.8544363379478455
1742480503.7388198,11,1742480503,738109589,world,0.7924781441688538,3.6895596981048584,0.09608198702335358,-0.0038586300797760487,-0.002079630736261606,-0.519533634185791,-0.8544387817382812
1742480503.7787971,12,1742480503,778092015,world,0.7925481796264648,3.6895580291748047,0.09612683206796646,-0.004285905044525862,-0.002593032317236066,-0.519611120223999,-0.8543881773948669
1742480503.809175,13,1742480503,808128742,world,0.7925381660461426,3.6895854473114014,0.09612564742565155,-0.0037361320573836565,-0.0026130492333322763,-0.5197893977165222,-0.8542823195457458
1742480503.80923,14,1742480503,808217826,world,0.7925419807434082,3.6895735263824463,0.09615358710289001,-0.0041446140967309475,-0.0026854295283555984,-0.5194293856620789,-0.854499101638794
1742480503.838912,15,1742480503,838135926,world,0.7925606369972229,3.689547061920166,0.0961383730173111,-0.004376291297376156,-0.002485207747668028,-0.5197082161903381,-0.8543290495872498
1742480503.8686612,16,1742480503,868019775,world,0.7924889326095581,3.6895928382873535,0.09618324786424637,-0.002351932693272829,-0.0031461119651794434,-0.519422709941864,-0.8545083999633789
1742480503.8988576,17,1742480503,898123628,world,0.7925611734390259,3.689558506011963,0.09617649763822556,-0.004523013718426228,-0.0026070678140968084,-0.5194145441055298,-0.8545065522193909
1742480503.9085865,18,1742480503,908085994,world,0.792544424533844,3.689547538757324,0.096148282289505,-0.004034855868667364,-0.002825878094881773,-0.5194432735443115,-0.8544906973838806
1742480503.928773,19,1742480503,928154062,world,0.7924755215644836,3.689577579498291,0.09614209085702896,-0.001757785794325173,-0.0034187764395028353,-0.5195934176445007,-0.8544049859046936
1742480503.949017,20,1742480503,948146005,world,0.7925381064414978,3.6895267963409424,0.09610535949468613,-0.004106167703866959,-0.0021213707514107227,-0.5197086930274963,-0.8543310165405273
1742480503.9687457,21,1742480503,968126863,world,0.7925156950950623,3.689573287963867,0.0961717888712883,-0.003492549993097782,-0.002862615045160055,-0.5194061994552612,-0.854515552520752
1742480503.9787784,22,1742480503,978113980,world,0.7924137115478516,3.689627170562744,0.09614526480436325,-0.0012531940592452884,-0.004008879419416189,-0.5193272233009338,-0.8545651435852051
1742480504.0090947,23,1742480504,8129123,world,0.7924644947052002,3.689605236053467,0.0962275043129921,-0.002093070186674595,-0.0033460166305303574,-0.5192083120346069,-0.8546386957168579
1742480504.0392504,24,1742480504,38117305,world,0.7925398349761963,3.6895463466644287,0.09610691666603088,-0.0038005453534424305,-0.0027019884437322617,-0.5196003317832947,-0.8543967008590698
1742480504.0488582,25,1742480504,48079379,world,0.7925434708595276,3.689541816711426,0.09613050520420074,-0.004145740065723658,-0.002454583765938878,-0.5195397734642029,-0.8544326424598694
1742480504.0688472,26,1742480504,68088445,world,0.7925315499305725,3.6895580291748047,0.09616933763027191,-0.00395371625199914,-0.002739557297900319,-0.5195541977882385,-0.8544239401817322
1742480504.078801,27,1742480504,78100436,world,0.7924975752830505,3.6895885467529297,0.09621085226535797,-0.00251557189039886,-0.003327880287542939,-0.5192531943321228,-0.8546102643013
1742480504.0991843,28,1742480504,98118961,world,0.7923685312271118,3.689592123031616,0.09618879109621048,-0.00012660671200137585,-0.0036273160949349403,-0.5191826820373535,-0.8546556234359741
1742480504.1190503,29,1742480504,118093943,world,0.7924889922142029,3.6896002292633057,0.096188485622406,-0.002269175834953785,-0.00337303732521832,-0.5193058848381042,-0.8545788526535034
1742480504.1289926,30,1742480504,128093268,world,0.7925312519073486,3.6895623207092285,0.09612557291984558,-0.004009701311588287,-0.0026921534445136786,-0.5195603966712952,-0.8544201254844666
1742480504.15905,31,1742480504,158077866,world,0.7924485206604004,3.689591407775879,0.09611597657203674,-0.0011837236816063523,-0.0034590966533869505,-0.5198739767074585,-0.8542351126670837
1742480504.1888974,32,1742480504,188079924,world,0.7924806475639343,3.6895835399627686,0.0961390882730484,-0.0024520964361727238,-0.0031626641284674406,-0.5195399522781372,-0.8544368147850037
