Time,data
1742480524.756198,1007 right
1742480557.7546227,1018 middle
1742480572.754969,1023 right
1742480587.756145,1028 left
1742480599.7548869,1032 left
1742480605.755981,1034 left
1742480608.754752,1035 right
1742480611.7558546,1036 left
1742480614.7548819,1037 left
1742480617.7562397,1038 right
1742480620.756104,1039 left
1742480623.7561355,1040 right
1742480626.7540643,1041 right
1742480629.7561486,1042 left
1742480635.7560544,1044 right
1742480641.7546794,1046 left
1742480647.7535677,1048 right
1742480653.753456,1050 left
1742480656.756214,1051 right
1742480662.7547207,1053 middle
1742480695.7559707,1064 middle
1742480722.756249,1073 left
1742480728.7561843,1075 right
1742480734.7551694,1077 left
1742480737.7547882,1078 left
1742480740.7552478,1079 left
1742480767.7558444,1088 middle
1742480770.7560682,1089 right
1742480800.7548003,1099 left
