Time,data
1743169931.3002558,3007 middle
1743169934.3089025,3008 right
1743169940.3062096,3010 right
1743169943.329619,3011 right
1743169946.301176,3012 left
1743169949.3012092,3013 right
1743169955.3037534,3015 left
1743169961.3011827,3017 right
1743169982.304169,3024 left
1743170000.301157,3030 right
1743170018.303424,3036 right
1743170036.3131077,3042 left
1743170039.3024747,3043 left
1743170060.3012025,3050 left
1743170078.3014047,3056 left
1743170093.3004515,3061 right
1743170111.301242,3067 right
1743170123.3126447,3071 middle
1743170132.3010721,3074 right
1743170135.2999368,3075 right
1743170150.2999883,3080 left
1743170168.3007164,3086 right
1743170183.3022177,3091 middle
1743170198.305075,3096 left
1743170201.3239806,3097 middle
1743170213.306298,3101 middle
1743170231.3301146,3107 left
1743170243.2991903,3111 left
1743170246.3015645,3112 left
1743170261.312139,3117 middle
1743170270.3012328,3120 right
1743170282.302051,3124 left
1743170300.2990642,3130 right
1743170303.303249,3131 right
1743170306.302418,3132 right
1743170309.299664,3133 right
1743170327.360251,3139 left
1743170330.299219,3140 left
1743170348.299616,3146 right
1743170363.2977815,3151 left
1743170381.3015673,3157 right
1743170387.3991456,3159 right
1743170390.2989423,3160 left
1743170393.300693,3161 right
1743170399.301745,3163 left
1743170402.3024523,3164 right
1743170405.2990258,3165 left
1743170408.307294,3166 left
1743170411.3035429,3167 right
1743170417.3089445,3169 left
1743170420.3059878,3170 right
1743170426.3242867,3172 middle
1743170429.3019073,3173 left
1743170447.556721,3179 right
1743170453.2989366,3181 right
1743170465.562386,3185 left
1743170468.2991388,3186 right
1743170480.2973237,3190 left
1743170486.299671,3192 middle
1743170501.2992923,3197 left
1743170504.2997675,3198 left
