Time,header.seq,header.frame_id,child_frame_id,pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1743171849.0604527,33,odom,base_footprint,0.7293654229062532,1.951043354688648,0.0,0.038121972233057,0.0233228746801614,-0.6970178484916687,-0.7156597375869751,0.0,0.0,0.0,,,
1743171852.0598538,63,odom,base_footprint,0.7428317611867099,2.4283158014828112,0.0,0.0381219719832641,0.0233228750884557,-0.6970178408268028,-0.7156597450521822,0.1865927726030349,0.0,0.0,,,
1743171855.059868,93,odom,base_footprint,0.7599985326495932,3.0257873722317923,0.0,0.0380998939963071,0.0233589239425674,-0.6963405918191415,-0.7163187288518851,0.2009394019842147,0.0,0.0,,,
1743171858.0597484,123,odom,base_footprint,0.7690825525833662,3.3352019199705216,0.0,0.0445734390830233,-0.0032326117299319,-0.9833666124289696,-0.176047853377954,-0.0143486410379409,0.0,0.0,,,
1743171861.059746,153,odom,base_footprint,0.7514875386959109,3.1165817360130275,0.0,0.0243479437686615,-0.0374755771739753,-0.7342956495470108,0.6773570994500216,0.2009382545948028,0.0,0.0,,,
1743171864.059711,183,odom,base_footprint,0.7446687494334119,3.0005163693530825,0.0,0.0209890938382057,0.0394550274380272,-0.236838007602514,-0.97052073613802,0.0,0.0,0.0,,,
1743171867.0598562,213,odom,base_footprint,0.8886573407531457,3.3269119846584463,0.0,0.036535886844308,0.0257365542134996,-0.6493362257409906,-0.7591872015909239,0.0,0.0,0.0,,,
1743171870.0599442,243,odom,base_footprint,0.7928316289420255,3.2604573911887478,0.0,0.0380391888286403,-0.0234576504267484,-0.9534795913467404,0.2981265000033808,0.2009491175413131,0.0,0.0,,,
1743171873.059728,273,odom,base_footprint,0.3017064311804431,2.920142293295222,0.0,0.0380391916250099,-0.0234576458921236,-0.9534796268861818,0.2981263863397541,0.2009391486644745,0.0,0.0,,,
1743171876.0596635,303,odom,base_footprint,-0.1232164534973441,2.625976484386652,0.0,0.0360822991253558,-0.0263687113851403,-0.927161424875385,0.3719871413665516,0.0143531495705246,0.0,0.0,,,
