Time,data
1743174315.3609676,3002 middle
1743174327.356445,3006 left
1743174345.3580327,3012 right
1743174348.3572602,3013 right
1743174366.36007,3019 middle
1743174378.3552098,3023 right
1743174381.36447,3024 right
1743174387.3595202,3026 left
1743174393.3579304,3028 right
1743174396.3589194,3029 right
1743174417.357566,3036 right
1743174420.3669944,3037 right
1743174429.3701394,3040 left
1743174441.3918357,3044 left
1743174444.3609335,3045 left
1743174456.3599496,3049 middle
1743174474.359711,3055 left
1743174495.357776,3062 middle
1743174513.3584187,3068 left
1743174525.3600743,3072 right
1743174540.3711324,3077 middle
1743174561.37543,3084 left
1743174582.379061,3091 right
1743174603.3603077,3098 left
1743174609.358496,3100 middle
1743174615.3662424,3102 right
1743174621.3608243,3104 right
1743174630.3579032,3107 left
1743174648.3585198,3113 right
1743174666.3583245,3119 left
1743174684.3589704,3125 left
1743174693.378117,3128 right
1743174705.359748,3132 middle
1743174729.3585217,3140 right
1743174747.361255,3146 right
1743174753.3596954,3148 right
1743174762.3585734,3151 middle
1743174768.3599396,3153 right
1743174786.3595228,3159 left
1743174795.3588297,3162 left
1743174807.479731,3166 left
1743174810.360647,3167 right
1743174813.3592694,3168 right
1743174816.3582735,3169 right
1743174819.3609657,3170 right
1743174834.3610282,3175 right
1743174852.3618355,3181 right
1743174870.3588176,3187 right
1743174882.3589194,3191 left
1743174894.360863,3195 right
1743174903.3613436,3198 right
