Time,data
1743169931.3050218,2007 middle
1743169934.3086693,2008 right
1743169940.306254,2010 right
1743169943.3075256,2011 right
1743169946.3013732,2012 left
1743169949.3012578,2013 right
1743169955.3038034,2015 left
1743169961.301215,2017 right
1743169982.3042145,2024 left
1743170000.3012097,2030 right
1743170018.3034706,2036 right
1743170036.3056507,2042 left
1743170039.302501,2043 left
1743170060.3012486,2050 left
1743170078.3014407,2056 left
1743170093.30537,2061 right
1743170111.3017101,2067 right
1743170123.3045115,2071 middle
1743170132.3021026,2074 right
1743170135.304614,2075 right
1743170147.4143784,2079 left
1743170150.30265,2080 left
1743170168.301734,2086 right
1743170183.3030283,2091 middle
1743170198.3051133,2096 left
1743170201.3180153,2097 middle
1743170213.3061297,2101 middle
1743170231.3053803,2107 left
1743170243.304893,2111 left
1743170246.3047905,2112 left
1743170261.3121865,2117 middle
1743170270.307288,2120 right
1743170282.3033805,2124 left
1743170300.303608,2130 right
1743170303.303392,2131 right
1743170306.30351,2132 right
1743170309.304511,2133 right
1743170327.3490467,2139 left
1743170330.3045382,2140 left
1743170348.3041542,2146 right
1743170363.3036766,2151 left
1743170381.3061776,2157 right
1743170387.3798652,2159 right
1743170390.308318,2160 left
1743170393.3079555,2161 right
1743170399.3129046,2163 left
1743170402.311806,2164 right
1743170405.304234,2165 left
1743170408.3074496,2166 left
1743170411.3058758,2167 right
1743170417.3089807,2169 left
1743170420.3077095,2170 right
1743170426.3244038,2172 middle
1743170429.3081775,2173 left
1743170447.5566792,2179 right
1743170453.3045924,2181 right
1743170465.3441203,2185 left
1743170468.3062465,2186 right
1743170480.3065023,2190 left
1743170486.3048403,2192 middle
1743170501.3075535,2197 left
1743170504.3036911,2198 left
