Time,data
1743171857.9182825,1004 middle
1743171863.918185,1006 right
1743171866.9180732,1007 left
1743171875.9173286,1010 right
1743171878.915828,1011 right
1743171887.9174151,1014 left
1743171896.917477,1017 right
1743171905.9182072,1020 left
1743171914.9171867,1023 right
1743171923.9182231,1026 left
1743171929.918469,1028 right
1743171941.9170637,1032 left
1743171944.9181519,1033 right
1743171950.9173205,1035 right
1743171953.9181955,1036 right
1743171956.9180357,1037 right
1743171974.9182427,1043 middle
1743171992.9171674,1049 middle
1743172004.9156325,1053 right
1743172013.918243,1056 right
1743172031.9155428,1062 left
1743172040.9155188,1065 left
1743172052.9183404,1069 right
1743172067.917286,1074 right
1743172082.91681,1079 middle
1743172085.9174569,1080 right
1743172097.9174647,1084 middle
1743172115.9171798,1090 right
1743172121.9173303,1092 right
1743172130.9181976,1095 right
1743172133.918409,1096 left
1743172139.91812,1098 right
1743172142.9182155,1099 right
1743172160.917968,1105 right
1743172169.9173372,1108 middle
1743172187.9173155,1114 right
1743172193.9182434,1116 right
1743172199.9174175,1118 left
1743172202.9181008,1119 right
1743172205.9177346,1120 right
1743172220.918102,1125 right
1743172235.9172468,1130 right
1743172256.915302,1137 right
1743172259.9163225,1138 right
1743172274.9154732,1143 middle
1743172292.9172993,1149 middle
1743172310.9182436,1155 middle
1743172328.9182298,1161 middle
1743172334.918167,1163 middle
1743172337.9181857,1164 right
1743172340.9180715,1165 left
1743172349.9182227,1168 middle
1743172352.916883,1169 middle
1743172370.9182332,1175 middle
1743172388.9181566,1181 right
1743172409.918287,1188 middle
1743172421.9173732,1192 left
1743172424.9183345,1193 right
1743172436.9173393,1197 left
