Time,data
1743169928.4633377,1006 right
1743169931.463108,1007 right
1743169940.4616284,1010 left
1743169952.463271,1014 left
1743169964.4634154,1018 right
1743169985.4633656,1025 right
1743170003.4636457,1031 left
1743170012.4628606,1034 right
1743170021.4630053,1037 middle
1743170024.463079,1038 left
1743170027.4632998,1039 right
1743170030.463212,1040 left
1743170048.4631598,1046 right
1743170063.4624915,1051 left
1743170066.4626515,1052 right
1743170081.4630425,1057 left
1743170084.4632945,1058 middle
1743170090.463401,1060 right
1743170105.4630055,1065 left
1743170108.461138,1066 right
1743170123.4632251,1071 middle
1743170129.4627237,1073 middle
1743170132.4632754,1074 right
1743170138.4606152,1076 left
1743170147.460602,1079 right
1743170162.4609945,1084 left
1743170180.4623327,1090 left
1743170198.4612918,1096 left
1743170204.463255,1098 right
1743170207.463011,1099 right
1743170222.462533,1104 left
1743170231.4632957,1107 left
1743170234.4631855,1108 right
1743170243.4626029,1111 right
1743170255.463224,1115 middle
1743170273.4632237,1121 left
1743170285.4609995,1125 right
1743170288.4627216,1126 right
1743170303.4629705,1131 left
1743170306.4631085,1132 left
1743170309.4630468,1133 right
1743170315.4634643,1135 middle
1743170318.4631069,1136 right
1743170321.4632196,1137 left
1743170324.463337,1138 left
1743170327.4630885,1139 right
1743170330.4631958,1140 middle
1743170333.4628808,1141 right
1743170336.4603124,1142 middle
1743170357.461269,1149 right
1743170363.4624805,1151 right
1743170366.4604526,1152 right
1743170369.4630249,1153 right
1743170372.4632902,1154 right
1743170390.461663,1160 middle
1743170393.463202,1161 middle
1743170396.463217,1162 left
1743170399.4613395,1163 middle
1743170402.4625344,1164 right
1743170408.4633486,1166 left
1743170414.461518,1168 right
1743170420.463503,1170 left
1743170423.4632006,1171 middle
1743170429.463391,1173 right
1743170438.4633489,1176 left
1743170441.462686,1177 right
1743170447.463044,1179 right
1743170450.4632156,1180 right
1743170465.4634223,1185 middle
1743170489.4633734,1193 middle
1743170498.4636118,1196 right
1743170507.4632185,1199 right
