Time,data
1743175440.1959498,3003 middle
1743175461.2033556,3010 left
1743175476.1911364,3015 left
1743175479.1941683,3016 left
1743175494.1944556,3021 right
1743175506.1937878,3025 left
1743175509.1917925,3026 right
1743175521.191926,3030 left
1743175530.190235,3033 right
1743175548.1925993,3039 middle
1743175554.193882,3041 left
1743175560.1939685,3043 left
1743175572.1920762,3047 right
1743175581.1906695,3050 left
1743175584.197763,3051 right
1743175593.192628,3054 right
1743175605.1928065,3058 right
1743175614.2028177,3061 left
1743175635.1917264,3068 middle
1743175656.1900957,3075 left
1743175659.1954825,3076 left
1743175680.1910732,3083 left
1743175701.1930428,3090 left
1743175716.1913636,3095 right
1743175734.1902819,3101 middle
1743175752.1917892,3107 middle
1743175755.1914396,3108 right
1743175761.1912043,3110 right
1743175770.1959372,3113 left
1743175785.1926017,3118 left
1743175797.193433,3122 left
1743175809.190701,3126 middle
1743175824.1924572,3131 right
1743175839.190422,3136 right
1743175857.1960177,3142 right
1743175860.194269,3143 right
1743175863.1914732,3144 right
1743175866.1909974,3145 left
1743175872.1901963,3147 right
1743175890.1944158,3153 middle
1743175902.1935747,3157 right
1743175917.190205,3162 left
1743175920.1927354,3163 left
1743175923.1907759,3164 right
1743175926.1939704,3165 left
1743175938.1905062,3169 middle
1743175959.1918023,3176 left
1743175980.19142,3183 right
1743175995.189864,3188 left
1743176004.1899884,3191 right
1743176016.1903236,3195 left
