Time,data
1743171144.805705,2005 left
1743171150.8061202,2007 right
1743171162.8098464,2011 right
1743171177.8065512,2016 right
1743171198.807196,2023 right
1743171204.81156,2025 right
1743171210.8057184,2027 right
1743171213.830571,2028 right
1743171228.8081105,2033 right
1743171231.8058639,2034 left
1743171234.8085954,2035 right
1743171252.8090167,2041 right
1743171270.8075056,2047 right
1743171276.8076854,2049 right
1743171285.8090625,2052 right
1743171294.8067625,2055 left
1743171297.8083713,2056 right
1743171309.804657,2060 middle
1743171319.2978332,2063 left
1743171321.811156,2064 right
1743171333.8067658,2068 left
1743171348.8064127,2073 middle
1743171360.8074994,2077 left
1743171369.8056874,2080 right
1743171372.80926,2081 left
1743171375.8093202,2082 right
1743171378.811495,2083 right
1743171393.8111134,2088 left
1743171399.8120947,2090 middle
1743171402.8073351,2091 left
1743171405.8072784,2092 left
1743171417.8113015,2096 right
1743171429.8084955,2100 left
1743171444.8057773,2105 middle
1743171448.3315094,2106 left
1743171450.8047163,2107 left
1743171453.8243935,2108 right
1743171471.8056896,2114 right
1743171483.8078055,2118 right
1743171486.8081753,2119 right
1743171498.8089824,2123 left
1743171513.8402936,2128 left
1743171531.8080447,2134 right
1743171549.8074036,2140 middle
1743171558.813243,2143 left
1743171561.8085227,2144 right
1743171579.8098042,2150 left
1743171597.812353,2156 right
1743171600.8096116,2157 right
1743171606.8122776,2159 left
1743171609.8105395,2160 left
1743171615.8096743,2162 middle
1743171618.8162346,2163 left
1743171621.810592,2164 middle
1743171624.9343977,2165 middle
1743171627.8118048,2166 right
1743171630.8119998,2167 right
1743171639.8075595,2170 left
1743171645.8126805,2172 right
1743171651.810086,2174 left
1743171660.810832,2177 right
1743171678.8132644,2183 right
1743171693.811856,2188 right
1743171708.812146,2193 middle
