Time,data
1743171868.0434842,3007 right
1743171886.0413523,3013 right
1743171904.039666,3019 left
1743171922.0429425,3025 left
1743171937.044099,3030 left
1743171940.0431502,3031 left
1743171958.0405405,3037 left
1743171964.0411234,3039 right
1743171970.0420902,3041 left
1743171973.0433583,3042 left
1743171982.0408742,3045 right
1743172000.0398486,3051 left
1743172018.0441792,3057 right
1743172036.0395288,3063 left
1743172048.0430815,3067 right
1743172063.0383797,3072 right
1743172075.041608,3076 left
1743172084.0418274,3079 right
1743172090.0411909,3081 right
1743172093.043108,3082 right
1743172108.0403497,3087 right
1743172111.0420985,3088 left
1743172114.0408144,3089 left
1743172117.04138,3090 right
1743172135.0399406,3096 right
1743172147.0403678,3100 middle
1743172150.0407085,3101 right
1743172165.044502,3106 left
1743172180.0468624,3111 right
1743172192.0422328,3115 left
1743172195.0442324,3116 left
1743172204.041488,3119 right
1743172222.049453,3125 middle
1743172243.0602117,3132 left
1743172252.0414085,3135 right
1743172261.047476,3138 left
1743172279.040847,3144 left
1743172300.041458,3151 left
1743172318.0402527,3157 right
1743172330.0411208,3161 middle
1743172333.0466335,3162 right
1743172345.0436437,3166 left
1743172363.042342,3172 left
1743172384.0479505,3179 right
1743172402.0481865,3185 left
1743172420.0411818,3191 left
1743172438.0446205,3197 left
