Time,data
1743171138.6497176,1003 right
1743171144.6496117,1005 middle
1743171162.6513186,1011 middle
1743171165.649647,1012 right
1743171171.6512246,1014 right
1743171174.6525218,1015 right
1743171186.6485124,1019 left
1743171189.6511784,1020 right
1743171198.651127,1023 right
1743171207.6504698,1026 middle
1743171216.6504805,1029 right
1743171234.6503308,1035 middle
1743171240.6495202,1037 right
1743171252.6506088,1041 right
1743171264.6494331,1045 left
1743171276.6493573,1049 right
1743171288.6495066,1053 right
1743171297.6511493,1056 right
1743171306.650444,1059 left
1743171318.651212,1063 middle
1743171321.6511352,1064 right
1743171333.651165,1068 right
1743171348.6495006,1073 right
1743171354.649666,1075 right
1743171357.6512222,1076 right
1743171372.6511993,1081 right
1743171387.6506011,1086 middle
1743171399.649817,1090 right
1743171411.6513076,1094 left
1743171414.65059,1095 right
1743171423.6512105,1098 right
1743171441.651195,1104 right
1743171459.6504185,1110 middle
1743171474.6510868,1115 middle
1743171477.6512423,1116 middle
1743171492.649406,1121 right
1743171501.6509824,1124 right
1743171504.6493802,1125 right
1743171510.6494765,1127 right
1743171528.6511524,1133 left
1743171549.6497574,1140 left
1743171567.6512473,1146 left
1743171585.6493726,1152 middle
1743171600.6504586,1157 right
1743171603.65041,1158 left
1743171612.6512215,1161 right
1743171618.651033,1163 right
1743171621.6510968,1164 middle
1743171627.6496308,1166 right
1743171630.6512766,1167 right
1743171633.6494267,1168 right
1743171636.649655,1169 middle
1743171642.6512716,1171 left
1743171645.651236,1172 left
1743171648.6490192,1173 left
1743171654.650483,1175 right
1743171660.6503537,1177 right
1743171675.651034,1182 left
1743171681.6511037,1184 middle
1743171684.6496866,1185 right
1743171687.6505868,1186 right
1743171690.6512032,1187 right
1743171696.650602,1189 right
1743171699.6504662,1190 right
1743171711.6491344,1194 left
1743171714.6513364,1195 right
1743171726.6513095,1199 right
