2002 21002 0.9006375325754518
3001 21001 0.9217707409923793
3002 21002 0.5189699587871581
3003 21003 0.7590175805487268
4001 21001 0.7181632911866077
4002 21002 0.24222656026559017
4003 21003 0.38517334483023224
5001 21001 0.9973008163382417
5002 21002 0.6366751075825899
5003 21003 0.9648170711863713
7001 21001 0.8359937072117771
8000 21000 0.7907602073108142
8001 21001 0.4060273889266604
8002 21002 0.7274719843402416
9000 21000 0.7452857241174152
9001 21001 0.30031200250471823
9002 21002 0.44250768352849246
10001 21001 0.6812206836333025
10002 21002 0.977938679543254
12000 21000 0.8132468971551547
12001 21001 0.9567035715278706
13000 21000 0.35848627374197334
13001 21001 0.5867714472132373
14000 21000 0.3695985852972262
14001 21001 0.5344040364973461
15000 21000 0.7946955629324537
15001 21001 0.8203231115190619
17000 21000 0.7719792965260358
18000 21000 0.3721989519129768
19000 21000 0.3666759111582811
20000 21000 0.8041158772982652
