Time,data
1743175437.194222,1002 middle
1743175443.1947582,1004 right
1743175449.1946595,1006 middle
1743175452.1934807,1007 right
1743175464.1949801,1011 right
1743175467.1948988,1012 right
1743175470.1941314,1013 right
1743175476.1948857,1015 left
1743175479.1945388,1016 right
1743175485.1949759,1018 right
1743175503.1947484,1024 left
1743175506.1948733,1025 left
1743175509.1924462,1026 right
1743175512.1932437,1027 right
1743175518.1946454,1029 right
1743175524.1949542,1031 right
1743175533.194493,1034 left
1743175536.1942544,1035 left
1743175554.1946018,1041 right
1743175569.1938512,1046 left
1743175572.1948514,1047 left
1743175581.1943088,1050 left
1743175584.1947114,1051 left
1743175593.19357,1054 right
1743175605.1946785,1058 right
1743175617.1948376,1062 right
1743175635.1936994,1068 right
1743175638.1924963,1069 right
1743175656.1934502,1075 right
1743175659.1946862,1076 right
1743175674.1943514,1081 right
1743175692.194655,1087 middle
1743175695.1949873,1088 right
1743175713.1944375,1094 right
1743175716.192194,1095 right
1743175722.1949387,1097 left
1743175725.1924806,1098 left
1743175734.1940928,1101 left
1743175743.1925316,1104 right
1743175752.1925614,1107 right
1743175758.194782,1109 right
1743175764.1943967,1111 left
1743175767.194406,1112 right
1743175773.1947534,1114 left
1743175776.1941736,1115 right
1743175779.1920114,1116 right
1743175782.1946228,1117 right
1743175800.1948843,1123 left
1743175803.1945636,1124 right
1743175806.1948779,1125 right
1743175809.1943707,1126 left
1743175812.1947873,1127 right
1743175815.194197,1128 right
1743175818.1947234,1129 left
1743175821.1948488,1130 right
1743175842.1943655,1137 right
1743175860.1940217,1143 right
1743175863.1933455,1144 right
1743175875.1944373,1148 right
1743175890.1948535,1153 right
1743175893.1940835,1154 right
1743175905.1942618,1158 right
1743175920.1942697,1163 right
1743175923.1929681,1164 right
1743175938.1944723,1169 right
1743175941.19335,1170 right
1743175959.1929395,1176 middle
1743175962.1947386,1177 right
1743175980.194596,1183 right
1743175983.194508,1184 right
1743175998.1947181,1189 middle
1743176001.194243,1190 middle
1743176019.1947958,1196 right
1743176022.1941783,1197 right
