Time,data
1743175440.203768,2003 middle
1743175461.2033935,2010 left
1743175476.2047257,2015 left
1743175479.2067158,2016 left
1743175494.202309,2021 right
1743175506.2084644,2025 left
1743175509.2031817,2026 right
1743175521.20268,2030 left
1743175530.2029521,2033 right
1743175548.2060816,2039 middle
1743175554.2048104,2041 left
1743175560.2044814,2043 left
1743175572.7532024,2047 right
1743175581.2065544,2050 left
1743175584.2048032,2051 right
1743175593.2040014,2054 right
1743175605.2015238,2058 right
1743175614.2028897,2061 left
1743175635.1995153,2068 middle
1743175656.1970465,2075 left
1743175659.1956606,2076 left
1743175680.193602,2083 left
1743175701.193102,2090 left
1743175716.1914563,2095 right
1743175734.5977578,2101 middle
1743175752.1917443,2107 middle
1743175755.1890666,2108 right
1743175761.1911433,2110 right
1743175770.1923106,2113 left
1743175785.1871915,2118 left
1743175797.1855745,2122 left
1743175809.188327,2126 middle
1743175824.1887977,2131 right
1743175839.1837223,2136 right
1743175857.1798954,2142 right
1743175860.1828902,2143 right
1743175863.1828766,2144 right
1743175866.1829824,2145 left
1743175872.1834047,2147 right
1743175890.1809497,2153 middle
1743175902.179832,2157 right
1743175917.1804364,2162 left
1743175920.1771076,2163 left
1743175923.178846,2164 right
1743175926.2799513,2165 left
1743175938.1806705,2169 middle
1743175959.176113,2176 left
1743175980.176406,2183 right
1743175995.174638,2188 left
1743176004.182251,2191 right
1743176016.1748314,2195 left
