1003 2003 0.9810000061988831
1004 2004 0.7179999947547913
1005 2005 0.7149999737739563
1038 2038 0.8640000224113464
1039 2039 0.503000020980835
1040 2040 0.5680000185966492
1041 2041 0.4390000104904175
1042 2042 0.4440000057220459
1043 2043 0.3709999918937683
1044 2044 0.3880000114440918
1045 2045 0.5509999990463257
1046 2046 0.7639999985694885
1047 2047 0.5189999938011169
1048 2048 0.7739999890327454
1049 2049 0.36000001430511475
1054 2054 0.9089999794960022
1055 2055 0.9259999990463257
1056 2056 0.47099998593330383
1057 2057 0.6890000104904175
1058 2058 0.38199999928474426
1059 2059 0.7490000128746033
