2023 21023 0.9760167356705086
2024 21024 0.713452983275036
2025 21025 0.7460274284134402
2026 21026 0.9869973102578933
2027 21027 0.9943869714672204
2068 21068 0.9797871490517174
2085 21085 0.5656106816908438
2086 21086 0.6194743730448715
2087 21087 0.5947235749622038
2088 21088 0.5759896225007979
2089 21089 0.9166538787127841
2091 21091 0.6971691002877747
2092 21092 0.6567794694364277
2093 21093 0.6526394773388738
2094 21094 0.6171114596104482
2095 21095 0.6151922708615879
2096 21096 0.842843499965551
2097 21097 0.8179345721165922
2098 21098 0.558988239494584
4045 21045 0.74986609034153
4046 21046 0.5731307873681104
4047 21047 0.6333585419208067
4048 21048 0.9700888018238916
5051 21051 0.9442192050794783
5052 21052 0.9432634421599619
8064 21064 0.7976327514670882
8065 21065 0.6437282542737192
8066 21066 0.8347758607335186
9056 21056 0.8973526232219571
9060 21060 0.7581021224420819
9061 21061 0.7130416380314211
9081 21081 0.9497270949891919
9082 21082 0.8960448954745033
9083 21083 0.8939093584540337
9084 21084 0.9265734502753116
9086 21086 0.9993777518157414
9087 21087 0.9119671180146717
9088 21088 0.9378464249530537
