Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1741040013.1499035,0,1741040013,149414380,world,-0.6413283348083496,-0.6922239661216736,0.09142494201660156,0.008415858261287212,0.009985502809286118,-0.33350464701652527,-0.942658007144928
1741040013.1697223,1,1741040013,169357092,world,-0.641543984413147,-0.6923479437828064,0.09139767289161682,0.007555556017905474,0.010120321065187454,-0.33300843834877014,-0.9428392648696899
1741040013.1801465,2,1741040013,179358260,world,-0.6412405967712402,-0.6922413110733032,0.09129779785871506,0.009367982856929302,0.01196263451129198,-0.3339157998561859,-0.9424805045127869
1741040013.1897035,3,1741040013,189420679,world,-0.641223669052124,-0.6922475099563599,0.09129776060581207,0.009435913525521755,0.011893011629581451,-0.33390310406684875,-0.9424851536750793
1741040013.2097404,4,1741040013,209375515,world,-0.6412501335144043,-0.692213773727417,0.09126844257116318,0.009542115963995457,0.01211970392614603,-0.33354049921035767,-0.9426096081733704
1741040013.2296493,5,1741040013,229340435,world,-0.6409116983413696,-0.6924352049827576,0.0914965346455574,0.007058927323669195,0.00966255459934473,-0.3354856073856354,-0.9419693350791931
1741040013.2396479,6,1741040013,239331437,world,-0.6413378119468689,-0.6922632455825806,0.09127741307020187,0.009119321592152119,0.011684518307447433,-0.33341431617736816,-0.9426639080047607
1741040013.2796946,7,1741040013,279353069,world,-0.6413313150405884,-0.6922111511230469,0.09144654870033264,0.008062615059316158,0.00998231302946806,-0.3339186906814575,-0.9425145983695984
1741040013.309551,8,1741040013,309270532,world,-0.6412337422370911,-0.6922422647476196,0.09125524759292603,0.009772931225597858,0.012028145603835583,-0.3335883915424347,-0.9425914883613586
1741040013.329587,9,1741040013,329283994,world,-0.641213059425354,-0.692244827747345,0.09127089381217957,0.009855806827545166,0.01210767962038517,-0.3340504467487335,-0.9424259662628174
1741040013.3796482,10,1741040013,379328794,world,-0.6413434147834778,-0.6922497153282166,0.09127859771251678,0.009063463658094406,0.011822771281003952,-0.33333370089530945,-0.9426913261413574
1741040013.3996465,11,1741040013,399284798,world,-0.641355037689209,-0.692215621471405,0.09142834693193436,0.008450145833194256,0.010179119184613228,-0.33344072103500366,-0.9426782727241516
1741040013.4295497,12,1741040013,429289719,world,-0.6412039399147034,-0.6922820210456848,0.09132903069257736,0.00945890974253416,0.011886369436979294,-0.33402886986732483,-0.9424404501914978
1741040013.439579,13,1741040013,439308138,world,-0.6412494778633118,-0.6922107338905334,0.09130321443080902,0.009384728968143463,0.011842203326523304,-0.33386197686195374,-0.9425008296966553
1741040013.4595609,14,1741040013,459276558,world,-0.6412408947944641,-0.692183256149292,0.09126908332109451,0.009637102484703064,0.012161978520452976,-0.33380675315856934,-0.9425137639045715
1741040013.4797947,15,1741040013,479285686,world,-0.6410230398178101,-0.6921378970146179,0.09130623191595078,0.009633362293243408,0.011253384873270988,-0.3349776268005371,-0.9421097040176392
1741040013.489539,16,1741040013,489247188,world,-0.6412354707717896,-0.6922445893287659,0.09125681966543198,0.009256290271878242,0.011512207798659801,-0.33385127782821655,-0.9425100684165955
1741040013.4995587,17,1741040013,499260065,world,-0.641242265701294,-0.6922503709793091,0.0912652537226677,0.009626809507608414,0.012073985300958157,-0.33388131856918335,-0.9424886703491211
1741040013.519587,18,1741040013,519247068,world,-0.6415234208106995,-0.6924030780792236,0.09145672619342804,0.007596934214234352,0.009635645896196365,-0.33307477831840515,-0.9428206086158752
1741040013.5496056,19,1741040013,549262115,world,-0.6412893533706665,-0.6922061443328857,0.09124155342578888,0.009678587317466736,0.012011530809104443,-0.33357128500938416,-0.9425987005233765
1741040013.569565,20,1741040013,569236993,world,-0.6412551403045654,-0.6922518014907837,0.09125422686338425,0.009769956581294537,0.012079174630343914,-0.3337540030479431,-0.9425321817398071
1741040013.59987,21,1741040013,599261623,world,-0.6410850882530212,-0.6921221017837524,0.09131745249032974,0.00969007145613432,0.011027855798602104,-0.3349550664424896,-0.9421197772026062
1741040013.6002865,22,1741040013,599423873,world,-0.6413826942443848,-0.6922613978385925,0.09127534925937653,0.008816770277917385,0.011701350100338459,-0.33353444933891296,-0.9426241517066956
1741040013.619557,23,1741040013,619250835,world,-0.641201376914978,-0.6922358870506287,0.0912972167134285,0.008862887509167194,0.010961662046611309,-0.33430197834968567,-0.9423606395721436
1741040013.6295872,24,1741040013,629267295,world,-0.6413792967796326,-0.6921899318695068,0.09141568094491959,0.008219142444431782,0.010070516727864742,-0.3335847556591034,-0.9426304697990417
1741040013.6497638,25,1741040013,649261715,world,-0.6415887475013733,-0.6922971606254578,0.0913640633225441,0.007780079264193773,0.010410319082438946,-0.33260518312454224,-0.9429766535758972
1741040013.6695404,26,1741040013,669242385,world,-0.6412363052368164,-0.6922824382781982,0.09129490703344345,0.00957525335252285,0.011787771247327328,-0.33404672145843506,-0.9424342513084412
1741040013.689598,27,1741040013,689248430,world,-0.6412656307220459,-0.6922358870506287,0.09128405898809433,0.009398641996085644,0.011815663427114487,-0.3338563144207001,-0.942503035068512
1741040013.6995575,28,1741040013,699264224,world,-0.6408739686012268,-0.6923825740814209,0.09148009121417999,0.007495598867535591,0.010314063169062138,-0.3355846703052521,-0.9419237971305847
1741040013.719578,29,1741040013,719251977,world,-0.6413922309875488,-0.6922693252563477,0.09126152098178864,0.00881102029234171,0.011820683255791664,-0.3331051766872406,-0.9427744150161743
