Time,data
1741040025.2496471,2004 left
1741040031.2478492,2006 right
1741040043.249805,2010 right
1741040049.2574108,2012 left
1741040055.253032,2014 right
1741040061.258414,2016 right
1741040076.2541294,2021 right
1741040082.2533886,2023 right
1741040097.2564692,2028 middle
1741040103.2546427,2030 right
1741040115.2728667,2034 right
1741040121.2576709,2036 right
1741040136.257811,2041 left
1741040142.2570603,2043 right
1741040154.259163,2047 middle
1741040157.2622862,2048 left
1741040160.2621977,2049 right
1741040172.2641203,2053 right
1741040175.266456,2054 right
1741040184.264315,2057 right
1741040187.2606428,2058 left
1741040193.266195,2060 right
1741040211.2663267,2066 left
1741040214.2652133,2067 right
1741040223.2652955,2070 right
1741040229.26593,2072 right
1741040235.269476,2074 right
1741040253.2688282,2080 left
1741040259.2682538,2082 right
1741040268.2712147,2085 right
1741040277.2677312,2088 right
1741040286.27081,2091 right
1741040298.2730815,2095 right
1741040307.2704322,2098 right
