Time,header.seq,header.frame_id,child_frame_id,pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1742480505.1007814,11,odom,base_footprint,2.454712138190347,2.6512096239360736,0.0,-0.022432854399085,-0.0081541370600461,-0.9741693139076232,-0.2245539724826812,0.0,0.0,0.0,,,
1742480508.0957394,41,odom,base_footprint,2.454712138190347,2.6512096239360736,0.0,-0.022432854399085,-0.0081541370600461,-0.9741693139076232,-0.2245539724826812,0.0,0.0,0.0,,,
1742480511.0954137,71,odom,base_footprint,2.09649576436074,2.8552743699041403,0.0,-0.0218441944245205,-0.0096205029820854,-0.9571774701139738,-0.2885162550415747,0.185694083571434,0.0,0.0,,,
1742480514.1001875,101,odom,base_footprint,1.6379861725350655,3.2209958543415267,0.0,-0.0209254070749629,-0.0114826062560578,-0.9284802498556092,-0.3706140368969692,0.186578094959259,0.0,0.0,,,
1742480517.0115848,130,odom,base_footprint,1.3343428105938564,3.5452922838958743,0.0,-0.0225976694753987,-0.0076855866376743,-0.978630935008107,-0.204234746706236,-0.0142655717208981,0.0,0.0,,,
1742480520.0957887,161,odom,base_footprint,1.3604762638719845,3.53940240948383,0.0,0.0073999704304058,-0.0226928038222183,0.1918758742868252,-0.981128935249424,0.2155585885047912,0.0,0.0,,,
1742480523.1026416,191,odom,base_footprint,1.8795825491514768,3.257631476252337,0.0,-0.0097581505367659,0.0217830531787071,-0.2945503981776543,0.9553378468638136,0.1866320818662643,0.0,0.0,,,
1742480526.0985112,221,odom,base_footprint,2.321776364423592,2.878033753341488,0.0,-0.0120263721141067,0.0206176934077894,-0.3947890258364441,0.9184617377964712,0.1873534172773361,0.0,0.0,,,
1742480529.1022575,251,odom,base_footprint,2.688442898224039,2.4202978095874603,0.0,-0.0137728340663748,0.0194944081588714,-0.4731225145274054,0.8806732793518077,0.2015023529529571,0.0,0.0,,,
1742480532.0987906,281,odom,base_footprint,2.963883650287732,1.903419030054688,0.0,-0.0156038328447322,0.0180622066270492,-0.5565461205659017,0.8304738131934366,0.1865251958370208,0.0,0.0,,,
1742480535.0054586,310,odom,base_footprint,3.127352327989623,1.363846513423772,0.0,-0.0172400534257761,0.0165076789876999,-0.6324964125988208,0.7741954706446069,0.1863493025302887,0.0,0.0,,,
1742480538.098752,341,odom,base_footprint,3.190558777094773,0.7710166832906054,0.0,-0.0188889718665839,0.01459210915214,-0.7108162336288787,0.7029727026895551,0.2148803919553756,0.0,0.0,,,
1742480541.0034618,370,odom,base_footprint,3.2020945011137,0.8332762623426171,0.0,-0.0100143165136533,-0.0216664803890465,-0.5268332476534312,-0.8496334903262351,0.2009566873311996,0.0,0.0,,,
1742480544.0010262,400,odom,base_footprint,3.4243541825047483,1.2067948860920394,0.0,-0.0128825999006605,-0.0200938181410121,-0.6380510705682145,-0.7696240446242293,0.0,0.0,0.0,,,
1742480547.1013155,431,odom,base_footprint,3.3804651940439925,1.122385139119091,0.0,-0.0222381383993089,0.0086711076695971,-0.8802500088647072,0.4739095489760521,0.1854403167963028,0.0,0.0,,,
1742480550.0033953,460,odom,base_footprint,3.029247789523109,0.6783865284682835,0.0,-0.0228948781717389,0.0067488859218243,-0.9173570459685856,0.3973492027534381,0.1721924841403961,0.0,0.0,,,
1742480553.0024638,490,odom,base_footprint,2.9969993086361533,0.6516290488385992,0.0,-9.92032300249912e-05,-0.0238686628532836,-0.1258767290068821,-0.9917587346787172,0.0142615372315049,0.0,0.0,,,
1742480556.0231984,520,odom,base_footprint,3.2016251112093004,1.0202170257248175,0.0,-0.0088461786266922,-0.0221690782710788,-0.480835302979185,-0.8764860239193307,0.2008104175329208,0.0,0.0,,,
1742480559.057322,540,odom,base_footprint,3.4330777134150257,1.3367223377683424,0.0,-0.0075102024060315,-0.0226565612462484,-0.4277829059494742,-0.9035663362999008,0.1996988505125045,0.0,0.0,,,
1742480562.105969,581,odom,base_footprint,3.3912604468790564,1.2693119583899757,0.0,-0.022682485781597,0.0074315372872788,-0.905045333724722,0.4246448900200128,0.185574322938919,0.0,0.0,,,
1742480565.0385933,610,odom,base_footprint,2.991958602167049,0.8661173222325971,0.0,-0.0232527707476086,0.005388094305385,-0.9391766260142675,0.3426041503914667,0.2007030099630355,0.0,0.0,,,
1742480568.1031864,641,odom,base_footprint,2.4935149293706047,0.5231354458587201,0.0,-0.0236577162586431,0.0031678650713214,-0.967336225681704,0.2523706900590432,0.2007863968610763,0.0,0.0,,,
1742480571.005663,670,odom,base_footprint,1.9812608727707823,0.2853108610664003,0.0,-0.0238199074180901,0.0015280439385636,-0.9824434467912216,0.1850275994925795,0.2004363685846328,0.0,0.0,,,
1742480574.005742,700,odom,base_footprint,1.4178241147454296,0.1209379243728334,0.0,-0.0238625779205213,-0.0005479805394509,-0.9948070195949116,0.0989410555921631,0.2151124477386474,0.0,0.0,,,
1742480577.0982256,731,odom,base_footprint,0.9466269761767364,0.0629999975988848,0.0,-0.0238255206178725,0.0014378716813052,-0.98313676141811,0.1813076034404309,-0.0142512889578938,0.0,0.0,,,
1742480580.0000167,760,odom,base_footprint,1.0120247425671105,0.0682072264295481,0.0,0.0032397197277548,-0.0236479835032538,0.0140541888859642,-0.999616335646712,0.1854239106178283,0.0,0.0,,,
1742480583.0284584,790,odom,base_footprint,1.4913319215335457,0.0164799087336473,0.0,0.0036642172178208,-0.0235859369087851,0.0320178361578746,-0.9992022802639964,0.014327441342175,0.0,0.0,,,
