Distance,Angle
0.0,-1.5707963267948966
0.0,-1.5532455298474674
0.0,-1.5356947329000386
0.0,-1.5181439359526094
0.0,-1.5005931390051805
0.0,-1.4830423420577514
0.0,-1.4654915451103225
0.0,-1.4479407481628934
0.0,-1.4303899512154645
0.0,-1.4128391542680354
0.0,-1.3952883573206065
0.0,-1.3777375603731774
0.0,-1.3601867634257485
0.0,-1.3426359664783194
0.0,-1.3250851695308903
0.0,-1.3075343725834614
0.0,-1.2899835756360325
0.0,-1.2724327786886034
0.0,-1.2548819817411743
0.0,-1.2373311847937454
0.0,-1.2197803878463165
0.0,-1.2022295908988874
0.0,-1.1846787939514583
0.0,-1.1671279970040294
0.0,-1.1495772000566002
0.0,-1.1320264031091714
0.0,-1.1144756061617422
0.0,-1.0969248092143133
0.0,-1.0793740122668842
0.0,-1.0618232153194551
0.0,-1.0442724183720262
0.0,-1.0267216214245973
0.0,-1.0091708244771682
0.0,-0.9916200275297392
0.0,-0.9740692305823102
0.0,-0.9565184336348812
0.0,-0.9389676366874522
0.0,-0.9214168397400232
0.0,-0.9038660427925942
0.0,-0.8863152458451652
0.0,-0.8687644488977362
0.0,-0.8512136519503071
0.0,-0.8336628550028781
0.0,-0.8161120580554491
0.0,-0.7985612611080201
0.0,-0.7810104641605911
0.0,-0.763459667213162
0.0,-0.745908870265733
0.0,-0.728358073318304
0.0,-0.710807276370875
0.0,-0.693256479423446
0.0,-0.675705682476017
0.0,-0.658154885528588
0.0,-0.640604088581159
0.0,-0.62305329163373
0.0,-0.605502494686301
0.0,-0.5879516977388719
0.0,-0.570400900791443
0.0,-0.5528501038440139
0.0,-0.535299306896585
0.0,-0.5177485099491559
0.0,-0.500197713001727
0.0,-0.4826469160542979
0.0,-0.465096119106869
0.0,-0.4475453221594399
0.0,-0.42999452521201076
0.0,-0.41244372826458187
0.0,-0.39489293131715275
0.0,-0.37734213436972386
0.0,-0.35979133742229474
0.0,-0.34224054047486585
0.0,-0.32468974352743674
0.0,-0.30713894658000784
0.0,-0.28958814963257873
0.0,-0.27203735268514984
0.0,-0.2544865557377207
0.0,-0.23693575879029183
0.0,-0.2193849618428627
0.0,-0.20183416489543382
0.0,-0.1842833679480047
0.0,-0.1667325710005758
0.0,-0.1491817740531467
0.0,-0.13163097710571758
0.0,-0.11408018015828869
0.0,-0.09652938321085958
0.0,-0.07897858626343068
0.0,-0.06142778931600157
0.0,-0.043876992368572676
0.0,-0.02632619542114356
0.0,-0.008775398473714668
0.0,0.008775398473714446
0.0,0.02632619542114334
0.0,0.043876992368572454
0.0,0.06142778931600135
0.0,0.07897858626343046
0.0,0.09652938321085935
0.0,0.11408018015828847
0.0,0.13163097710571758
0.0,0.14918177405314648
0.0,0.1667325710005756
0.0,0.18428336794800448
0.0,0.2018341648954336
0.0,0.2193849618428625
0.0,0.2369357587902916
0.0,0.2544865557377205
0.0,0.2720373526851496
0.0,0.2895881496325785
0.0,0.3071389465800076
0.0,0.3246897435274365
0.0,0.34224054047486563
0.0,0.3597913374222945
0.0,0.37734213436972364
0.0,0.39489293131715275
0.0,0.41244372826458164
0.0,0.42999452521201054
0.0,0.4475453221594399
0.0,0.46509611910686877
0.0,0.48264691605429766
0.0,0.5001977130017266
0.0,0.5177485099491559
0.0,0.5352993068965848
0.0,0.5528501038440137
0.0,0.5704009007914426
0.0,0.5879516977388719
0.0,0.6055024946863008
0.0,0.6230532916337297
0.0,0.6406040885811586
0.0,0.6581548855285879
0.0,0.6757056824760168
0.0,0.6932564794234457
0.0,0.710807276370875
0.0,0.7283580733183039
0.0,0.7459088702657328
0.0,0.7634596672131617
0.0,0.7810104641605911
0.0,0.79856126110802
0.0,0.8161120580554488
0.0,0.8336628550028777
0.0,0.8512136519503071
0.0,0.868764448897736
0.0,0.8863152458451649
0.0,0.9038660427925937
0.0,0.9214168397400231
0.0,0.938967636687452
0.0,0.9565184336348809
0.0,0.9740692305823102
0.0,0.9916200275297391
0.0,1.009170824477168
0.0,1.0267216214245969
0.0,1.0442724183720262
0.0,1.0618232153194551
0.0,1.079374012266884
0.0,1.096924809214313
0.0,1.1144756061617422
0.0,1.1320264031091711
0.0,1.1495772000566
0.0,1.167127997004029
0.0,1.1846787939514583
0.0,1.2022295908988871
0.0,1.219780387846316
0.0,1.237331184793745
0.0,1.2548819817411743
0.0,1.2724327786886032
0.0,1.289983575636032
0.0,1.3075343725834614
0.0,1.3250851695308903
0.0,1.3426359664783192
0.0,1.360186763425748
0.0,1.3777375603731774
0.0,1.3952883573206063
0.0,1.4128391542680352
0.0,1.430389951215464
0.0,1.4479407481628934
0.0,1.4654915451103223
0.0,1.4830423420577512
0.0,1.50059313900518
0.0,1.5181439359526094
0.0,1.5356947329000383
0.0,1.5532455298474672
0.0,1.5707963267948966
