Time,data
1743174315.4217467,1002 left
1743174318.4241002,1003 left
1743174324.422475,1005 right
1743174339.4224231,1010 left
1743174342.4223964,1011 right
1743174345.4242885,1012 right
1743174348.4226317,1013 right
1743174351.423345,1014 right
1743174366.4223719,1019 middle
1743174369.4228432,1020 left
1743174372.4227164,1021 right
1743174375.4224613,1022 left
1743174378.4224854,1023 right
1743174384.424146,1025 middle
1743174390.4242344,1027 right
1743174393.4227974,1028 right
1743174396.4221706,1029 left
1743174411.424343,1034 middle
1743174417.4238591,1036 right
1743174420.4243858,1037 right
1743174426.4222007,1039 left
1743174435.4232068,1042 right
1743174438.4224946,1043 right
1743174441.4243424,1044 right
1743174444.4232051,1045 right
1743174447.4243646,1046 right
1743174462.4215038,1051 left
1743174480.4244194,1057 right
1743174495.4241674,1062 left
1743174507.4221992,1066 right
1743174510.4242382,1067 right
1743174519.424231,1070 right
1743174525.4242885,1072 right
1743174528.4243367,1073 right
1743174543.422435,1078 right
1743174561.4224834,1084 left
1743174582.4227414,1091 left
1743174603.4243646,1098 right
1743174624.424329,1105 right
1743174642.4226465,1111 right
1743174660.4241135,1117 right
1743174666.4227307,1119 right
1743174669.4239829,1120 left
1743174678.4242117,1123 right
1743174681.4241045,1124 right
1743174687.422126,1126 right
1743174693.4242177,1128 right
1743174699.4228127,1130 middle
1743174708.4231262,1133 left
1743174714.4224303,1135 right
1743174732.4224803,1141 middle
1743174750.4224265,1147 left
1743174756.424386,1149 right
1743174759.423238,1150 left
1743174780.4232838,1157 left
1743174795.4242187,1162 right
1743174807.4220803,1166 left
1743174819.4227285,1170 right
1743174837.424322,1176 right
1743174858.4227402,1183 right
1743174876.424238,1189 middle
1743174888.4242291,1193 right
1743174900.4225335,1197 right
