1031 2031 0.8683433155871235
1049 2049 0.8393422357052517
1050 2050 0.7022638590812498
1061 2061 0.4329532356706508
1062 2062 0.6695766302170281
1073 2073 0.9882472769059272
1074 2074 0.34475203404439164
1075 2075 0.42360190825286165
1076 2076 0.749089935949424
1077 2077 0.34084257348547004
1078 2078 0.36247365272746357
1079 2079 0.7510380847510433
1059 3059 0.6535217187100834
1067 3067 0.9412739863466147
1068 3068 0.3851426517199968
1069 3069 0.9385407088551648
1074 3074 0.8168164372276924
1075 3075 0.7377353432587538
2042 3042 0.9513178678503723
2043 3043 0.42588951783872625
2044 3044 0.3460765968736998
2045 3045 0.783557807197882
2055 3055 0.7929658461265249
2056 3056 0.3330896309406086
2057 3057 0.5569939464342025
2074 3074 0.49951178799725393
2075 3075 0.33554445545285605
2076 3076 0.6088130253813512
2080 3080 0.952519627659052
2093 3093 0.6483976082991377
2094 3094 0.7181277060418951
2095 3095 0.6213909541983038
2096 3096 0.4460950026556425
2097 3097 0.6388605080378513
