Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1743169911.0125198,48,1743169911,11775120,world,0.366374522447586,1.270171880722046,0.0941504687070846,-0.0027431901544332,-0.0053450800478458,0.437224417924881,0.8993323445320129
1743169914.0325673,214,1743169914,31767404,world,0.3664124608039856,1.2699382305145264,0.0941001623868942,-0.0042537064291536,-0.0063150455243885,0.4388844668865204,0.8985112309455872
1743169917.0125902,378,1743169917,11772034,world,0.7134717702865601,1.7066020965576172,0.0952732414007186,-0.0065541141666471,0.0009744205744937,0.4416614770889282,0.8971572518348694
1743169920.0324187,543,1743169920,31779332,world,1.0922818183898926,2.172957420349121,0.0952078476548194,-0.0160437542945146,-0.0110959531739354,0.4355949461460113,0.8999314308166504
1743169923.0027776,702,1743169923,1801291,world,1.4651498794555664,2.628875970840454,0.0939720720052719,-0.0120959775522351,-0.0193708483129739,0.4300156533718109,0.9025325775146484
1743169926.0227687,871,1743169926,21794121,world,1.8407070636749268,3.093347787857056,0.0926803275942802,-0.0145527664572,-0.0113381389528512,0.4356909394264221,0.8999072909355164
1743169929.002638,1034,1743169929,1783787,world,1.958277702331543,3.214657783508301,0.0951491370797157,0.0164296030998229,-0.0041919024661183,0.980570912361145,0.1954309046268463
1743169932.012805,1195,1743169932,11804565,world,1.833810925483704,2.9628355503082275,0.0953064411878585,-0.0111310509964823,0.0095009319484233,0.8449076414108276,-0.5347121357917786
1743169935.0029452,1362,1743169935,1999192,world,1.5768805742263794,2.4280593395233154,0.0949537903070449,-0.0038833955768495,0.0080888243392109,0.8463432192802429,-0.5325623750686646
1743169938.002752,1513,1743169938,1820887,world,1.3158780336380005,1.8937757015228271,0.0952019840478897,0.0070448778569698,-0.013051732443273,0.8449333310127258,-0.5346659421920776
1743169941.0128467,1677,1743169941,11810530,world,1.199929118156433,1.690593123435974,0.094992808997631,-0.0041334009729325,-0.0089048352092504,0.2717235088348388,-0.9623253345489502
1743169944.002897,1843,1743169944,1861894,world,1.245649814605713,1.884201407432556,0.0946668088436126,0.0091485548764467,0.0066149742342531,-0.6292665600776672,-0.7771076560020447
1743169947.0123446,2003,1743169947,11817611,world,1.379942774772644,2.4628942012786865,0.0943924859166145,-0.0002397270000074,0.019679307937622,-0.6272117495536804,-0.7786001563072205
1743169950.012636,2168,1743169950,11775831,world,1.5149177312850952,3.0433294773101807,0.0951815545558929,0.0087584182620048,0.0167381521314382,-0.6301981806755066,-0.7762044668197632
1743169953.002505,2337,1743169953,1800271,world,1.565160870552063,3.2432045936584477,0.0970993787050247,-0.0038462164811789,0.0121991960331797,-0.9871346354484558,-0.1593786031007766
1743169956.0028856,2497,1743169956,2022080,world,1.2427220344543457,3.009694576263428,0.0965604856610298,0.0009809002513065,-0.0002100525744026,-0.9496121406555176,0.3134261667728424
1743169959.002752,2662,1743169959,1821387,world,0.7603570818901062,2.659386396408081,0.0990641787648201,-0.0018635637825354,0.0017597672995179,-0.94822895526886,0.3175771236419678
1743169962.0127442,2820,1743169962,11797785,world,0.2739913165569305,2.3144068717956543,0.0996200740337371,-0.0028733853250741,0.0045467475429177,-0.9505359530448914,0.3105679452419281
1743169965.0128932,2989,1743169965,11892479,world,0.0265015363693237,2.12903904914856,0.0981537401676178,0.0103581072762608,0.0037641625385731,-0.7147355675697327,0.6993079781532288
1743169968.0126903,3109,1743169968,11800150,world,0.245075911283493,2.170396327972412,0.09673323482275,-0.0086804842576384,0.0022432191763073,0.1007897779345512,0.9948673248291016
1743169971.0025694,3267,1743169971,1820966,world,0.8293637633323669,2.281813144683838,0.0969218313694,0.0022507403045892,0.0131412260234355,0.1012525856494903,0.994771420955658
1743169974.0230072,3437,1743169974,21785062,world,1.4179658889770508,2.390235185623169,0.0939570292830467,-0.004675212316215,0.0126798162236809,0.0967402607202529,0.9952179193496704
1743169977.0024357,3594,1743169977,1836292,world,1.9974809885025024,2.495237350463867,0.0910923480987548,-0.0088104698807001,0.0027388487942516,0.095809668302536,0.9953569769859314
1743169980.00273,3753,1743169980,1831546,world,2.5853114128112797,2.599820375442505,0.0922675505280494,-0.0171736199408769,0.0054788626730442,0.0902877077460289,0.9957525730133056
1743169983.0128915,3927,1743169983,11801756,world,3.1263928413391118,2.6987509727478027,0.0968968793749809,0.0075520724058151,0.0295810513198375,0.1034322753548622,0.9941678047180176
1743169986.0027092,4088,1743169986,1828685,world,3.1190571784973145,2.697730779647827,0.0943626537919044,-0.0338981561362743,-0.0395432263612747,0.9922879934310912,0.1124805063009262
1743169989.0129209,4247,1743169989,11812228,world,2.55964994430542,2.719226121902466,0.0939455777406692,-0.0001908747653942,-0.0198640394955873,0.9996148347854614,0.0193818230181932
1743169992.013261,4408,1743169992,11947817,world,1.965587854385376,2.741109848022461,0.095320850610733,0.0205681715160608,0.0065252343192696,0.9995105266571044,0.0226504523307085
1743169995.002662,4576,1743169995,1778540,world,1.3722171783447266,2.767303466796875,0.0954249575734138,0.0061785792931914,-0.0055678761564195,0.999746322631836,0.020932100713253
1743169998.0029263,4741,1743169998,1830864,world,0.7786543369293213,2.796208143234253,0.0987040400505065,0.00376009917818,-0.0044272970408201,0.9998373985290528,0.0170745216310024
1743170001.0123062,4903,1743170001,11844625,world,0.1814830154180526,2.828284978866577,0.0981004759669303,-0.0001272640074603,-0.0049009388312697,0.9996857047080994,0.024586459621787
