Time,data
1742480093.58494,3004 left
1742480099.5841682,3006 right
1742480102.588526,3007 right
1742480123.5844696,3014 left
1742480135.5868647,3018 right
1742480150.5886936,3023 left
1742480159.58996,3026 right
1742480171.586687,3030 left
1742480183.5839067,3034 middle
1742480186.5830638,3035 right
1742480189.5830545,3036 right
1742480201.6245894,3040 left
1742480210.5940475,3043 left
1742480216.5836911,3045 left
1742480222.584147,3047 left
1742480228.5828419,3049 right
1742480234.5832264,3051 right
1742480258.5833824,3059 right
1742480276.583749,3065 right
1742480297.5870445,3072 left
1742480312.584191,3077 right
1742480330.5825713,3083 left
1742480348.6974075,3089 right
1742480360.5847077,3093 right
1742480363.5826266,3094 right
