Time,data
1742480974.5614512,1003 middle
1742480977.5613725,1004 middle
1742480998.5616887,1011 middle
1742481025.5610046,1020 left
1742481028.5616477,1021 right
1742481031.5614526,1022 right
1742481055.5615745,1030 left
1742481079.561451,1038 left
1742481103.55922,1046 right
1742481106.5591185,1047 right
1742481142.5615923,1059 left
1742481145.5615537,1060 right
1742481151.5615947,1062 left
1742481157.5605116,1064 middle
1742481160.561476,1065 left
1742481163.5601008,1066 left
1742481166.5615907,1067 middle
1742481172.5613418,1069 left
1742481175.5616806,1070 right
1742481181.5610535,1072 left
1742481187.5614848,1074 right
1742481196.5615683,1077 left
1742481202.5592911,1079 right
1742481238.5615969,1091 left
1742481253.5616274,1096 right
