Time,data
1742480108.5765522,1009 middle
1742480114.5755703,1011 right
1742480120.5754802,1013 right
1742480135.5763543,1018 left
1742480138.5763285,1019 right
1742480153.576224,1024 left
1742480162.5765388,1027 right
1742480174.5744686,1031 left
1742480186.5763757,1035 right
1742480201.5762544,1040 left
1742480204.5765033,1041 left
1742480219.576297,1046 middle
1742480228.5762858,1049 left
1742480237.576321,1052 right
1742480255.576525,1058 left
1742480273.5763295,1064 middle
1742480294.5763924,1071 right
1742480297.5765595,1072 left
1742480315.576584,1078 left
1742480330.5763805,1083 middle
1742480345.5761085,1088 left
1742480351.576409,1090 right
