Time,data
1742480516.3756506,3004 middle
1742480519.3725626,3005 middle
1742480540.3717778,3012 left
1742480543.3775563,3013 right
1742480546.3725908,3014 right
1742480552.3748224,3016 left
1742480558.371119,3018 middle
1742480561.371316,3019 right
1742480579.3736513,3025 left
1742480585.3776922,3027 right
1742480603.3766367,3033 left
1742480618.3765233,3038 middle
1742480636.377375,3044 right
1742480654.3780653,3050 right
1742480672.3901765,3056 left
1742480675.381781,3057 right
1742480681.378666,3059 right
1742480699.3778324,3065 middle
1742480708.3715746,3068 right
1742480711.3834374,3069 right
1742480729.373244,3075 right
1742480732.3747222,3076 left
1742480738.3762045,3078 left
1742480762.372499,3086 middle
1742480765.3781376,3087 right
1742480768.3723023,3088 left
1742480774.3847537,3090 right
1742480780.3721807,3092 left
1742480783.374606,3093 right
1742480789.3863623,3095 left
1742480795.3986678,3097 right
1742480801.3818028,3099 left
